Script,Time (hms)
B. dataset_cleaning.R,0h 3m 37s
C. DistilBERT_overall.py,8h 22m 36.8s
D. DistilBERT_Access.py,3h 10m 27.3s
E. DistilBERT_overall_perf.py,0h 3m 7.1s
F. DistilBERT_Access_perf.py,0h 1m 0.9s
G. Descriptive_analysis.R,0h 0m 27.1s
H. DistilBERT_questionnaire.py,0h 0m 1.7s
I. DistilBERT_SHAP.py,0h 13m 7.8s
J. DistilBERT_SHAP_Access.py,0h 12m 8.3s
K. DistilBERT_analysis_SHAP.R,0h 0m 2.2s
L. DistilBERT_stability.py,0h 34m 25.4s
M. DistilBERT_timesens.py,10h 41m 57.5s
N. DistilBERT_sensitivity.R,0h 11m 33.6s
O. DistilBERT_SW_overall.py,9h 40m 48s
P. DistilBERT_SW_Access.py,3h 16m 12s
Q. DistilBERT_SW_perf.R,0h 3m 5.4s
R. DistilBERT_SW_Access_perf.R,0h 1m 16.2s
S. baseBERT_overall.py,17h 39m 36s
T. baseBERT_Access.py,5h 57m 36s
U. baseBERT_overall_perf.R,0h 3m 22.8s
V. baseBERT_Access_perf.R,0h 1m 3.6s
W. BOW_overall&Access.py,0h 7m 18.6s
X. BOW_overall_perf.R,0h 2m 57.6s
Y. BOW_Access_perf.R,0h 1m 12.6s
